"","OysterID","SampleEventID","ShellHeight","ShellLength","ShellWidth","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight","DataStatus","DateEntered","EnteredBy","DateProofed","ProofedBy","DateCompleted","CompletedBy","OldSampleNumber","Comments","AdminNotes"
"22","ABEC1808-14","ABCOLL_20180806_1_0090_1",73.16,58.31,31.91,103.88,0.99,9.01,86.17,2.08,83.92,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-789",NA,NA
"23","ABEC1808-15","ABCOLL_20180806_1_0090_1",43.83,37.15,17.76,29.61,0.98,3.08,24.56,1.38,22.69,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-790",NA,NA
"24","ABEC1808-16","ABCOLL_20180806_1_0090_1",46.9,36.07,23.72,18.9,0.97,3.84,13.2,1.51,12.19,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-791",NA,NA
"25","ABEC1808-17","ABCOLL_20180806_1_0090_1",64.33,51.89,30.7,86.62,1,6.8,74.04,1.85,68.44,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-792",NA,NA
"26","ABEC1808-18","ABCOLL_20180806_1_0090_1",54.77,42.25,20,37.77,0.98,4.07,31.93,1.55,30.58,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-793",NA,NA
"27","ABEC1808-19","ABCOLL_20180806_1_0090_1",49.61,42.18,16.21,29.34,0.98,3.81,24.51,1.48,24.03,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-794",NA,NA
"28","ABEC1808-20","ABCOLL_20180806_1_0090_1",54.5,36.79,22.71,36.86,0.99,4.75,29.61,1.59,28.12,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-795",NA,NA
"29","ABEC1808-21","ABCOLL_20180806_1_0090_1",42.85,35.27,18.88,21.99,0.96,2.95,18,1.35,17.62,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-796",NA,NA
"30","ABEC1808-22","ABCOLL_20180806_1_0090_1",49.33,37.42,21.41,24.78,0.98,3.67,19.69,1.51,18.52,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-797",NA,NA
"31","ABEC1808-23","ABCOLL_20180806_1_0090_1",38.14,27.36,18.01,16.36,0.98,2.81,13.26,1.35,12.87,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-798",NA,NA
"32","ABEC1808-24","ABCOLL_20180806_1_0090_1",36.12,32.28,17.83,16.29,0.96,2.32,13.84,1.22,13.56,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-799",NA,NA
"33","ABEC1808-25","ABCOLL_20180806_1_0090_1",45.33,41.39,26.89,39.29,0.97,4.69,32.12,1.63,30.63,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-800",NA,NA
"34","ABEC1809-01","ABCOLL_20180906_1_0090_1",64.83,64.83,34.77,100.37,1.03,7.15,81.61,1.88,74.15,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-801",NA,NA
"35","ABEC1809-02","ABCOLL_20180906_1_0090_1",60,58.14,28.99,87.93,1.03,6.26,70.34,1.83,65.2,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-802",NA,NA
"36","ABEC1809-03","ABCOLL_20180906_1_0090_1",52.15,44,24.48,47.75,1.02,4.38,40.53,1.56,38.83,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-803",NA,NA
"37","ABEC1809-04","ABCOLL_20180906_1_0090_1",66.55,54.19,30.37,73.96,1.02,6.4,59.09,1.81,52.32,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-804",NA,NA
"38","ABEC1809-05","ABCOLL_20180906_1_0090_1",62.8,51.45,24.2,66.67,1.02,5.03,59.96,1.68,58.14,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-805",NA,NA
"39","ABEC1809-06","ABCOLL_20180906_1_0090_1",68.19,64.5,37.4,110.04,1.03,7.4,91.62,1.94,84.56,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-806",NA,NA
"40","ABEC1809-07","ABCOLL_20180906_1_0090_1",66.26,56.78,33.22,94.85,1.02,7.78,77.8,1.98,69.61,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-807",NA,NA
"41","ABEC1809-08","ABCOLL_20180906_1_0090_1",80.01,62.34,27.91,87.03,1.01,7.83,68.87,1.96,63.77,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-808",NA,NA
"42","ABEC1809-09","ABCOLL_20180906_1_0090_1",70.24,57.71,29.76,105,1.02,6.33,89.18,1.83,87.11,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-809",NA,NA
"43","ABEC1809-10","ABCOLL_20180906_1_0090_1",72.49,57.71,42.14,122.22,1,8.82,93.98,2.03,84.15,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-810",NA,NA
"44","ABEC1809-11","ABCOLL_20180906_1_0090_1",82.07,65.69,34.62,148.51,1.02,9.03,124.49,2.09,119.09,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-811",NA,NA
"45","ABEC1809-12","ABCOLL_20180906_1_0090_1",75.05,69.32,32.51,108.71,1.01,11.11,85.03,2.33,78.55,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-812",NA,NA
"46","ABEC1809-13","ABCOLL_20180906_1_0090_1",81.43,69.23,32.62,148,1.01,11.7,118.38,2.5,114.14,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-813",NA,NA
"47","ABEC1809-14","ABCOLL_20180906_1_0090_1",83.09,68.89,38.78,139.72,1.02,9.46,107.94,2.1,91.37,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-814",NA,NA
"48","ABEC1809-15","ABCOLL_20180906_1_0090_1",69.47,70.55,33.78,115.36,1.02,12.87,95.66,2.23,87.44,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-815","ShellLength outside expected range",NA
"49","ABEC1809-16","ABCOLL_20180906_1_0090_1",85.13,69.11,34.13,145.11,1.01,13.71,118.42,2.37,107.12,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-816",NA,NA
"50","ABEC1809-17","ABCOLL_20180906_1_0090_1",87.5,74.26,33.82,156.61,1,8.59,142.89,2.15,133.55,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-817",NA,NA
"51","ABEC1809-18","ABCOLL_20180906_1_0090_1",57.3,49.54,21.09,46.91,1,4.78,37.75,1.49,36.63,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-818",NA,NA
"52","ABEC1809-19","ABCOLL_20180906_1_0090_1",72.81,63.63,33.71,93.92,0.99,13.54,67.63,2.09,59.36,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-819",NA,NA
"53","ABEC1809-20","ABCOLL_20180906_1_0090_1",52.02,32.69,18.95,29.2,0.99,3.42,24.38,1.45,22.9,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-820",NA,NA
"54","ABEC1809-21","ABCOLL_20180906_1_0090_1",56.65,48.67,22.03,49.66,1.01,4.92,40.44,1.58,38.97,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-821",NA,NA
"55","ABEC1809-22","ABCOLL_20180906_1_0090_1",67.89,56.55,33.07,93.31,1.01,9.62,72.93,2.11,66.44,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-822",NA,NA
"56","ABEC1809-23","ABCOLL_20180906_1_0090_1",76.24,65.66,34.03,129.04,1,10.97,109.22,2.17,102.08,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-823",NA,NA
"57","ABEC1809-24","ABCOLL_20180906_1_0090_1",76.15,60.59,33.32,127.72,1.03,7.87,105.91,2.01,102.46,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-824",NA,NA
"58","ABEC1809-25","ABCOLL_20180906_1_0090_1",80.09,63,37.83,144.89,1,17.03,117.05,2.3,110.77,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-825",NA,NA
"59","ABEC1810-01","ABCOLL_20181004_1_0090_1",75.58,68.01,39.85,154.52,1.03,8.9,131.66,2.36,119.72,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-826",NA,NA
"60","ABEC1810-02","ABCOLL_20181004_1_0090_1",51,31.59,19.94,26.01,1.01,3.69,20.73,1.51,18.64,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-827",NA,NA
"61","ABEC1810-03","ABCOLL_20181004_1_0090_1",76.39,64.95,26.38,111.36,1.02,8.95,93.22,2.07,87.44,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-828",NA,NA
"62","ABEC1810-04","ABCOLL_20181004_1_0090_1",51.8,38.55,23.65,33.65,1,3.51,28.26,1.44,26.5,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-829",NA,NA
"63","ABEC1810-05","ABCOLL_20181004_1_0090_1",68.86,45.33,26.2,51.67,1,5.14,41.67,1.71,38.22,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-830",NA,NA
"64","ABEC1810-06","ABCOLL_20181004_1_0090_1",78.81,63.47,29.26,120.97,1,9.84,101.52,2.2,94.23,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-831",NA,NA
"65","ABEC1810-07","ABCOLL_20181004_1_0090_1",46.1,35.74,20.1,22.44,1.01,3,18.06,1.35,16.66,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-832",NA,NA
"66","ABEC1810-08","ABCOLL_20181004_1_0090_1",91.41,72.73,31.05,166.29,1.02,14.04,133.41,3.36,125.46,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-833",NA,NA
"67","ABEC1810-09","ABCOLL_20181004_1_0090_1",56.83,41.93,22.54,43.34,1.01,4.92,36,1.64,34.93,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-834",NA,NA
"68","ABEC1810-10","ABCOLL_20181004_1_0090_1",67.22,59.44,31.05,93.37,1.02,9.62,72.13,2.18,68.34,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-835",NA,NA
"69","ABEC1810-11","ABCOLL_20181004_1_0090_1",47.75,48.21,20.04,36.06,1.01,5.25,29.24,1.74,28.49,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-836","ShellLength outside expected range",NA
"70","ABEC1810-12","ABCOLL_20181004_1_0090_1",78.13,70.65,34.29,147,1.01,11.45,120.31,2.46,113.23,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-837",NA,NA
"71","ABEC1810-13","ABCOLL_20181004_1_0090_1",55.87,49.8,20.61,42.53,1.01,4.95,38.56,1.68,36.47,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-838",NA,NA
"72","ABEC1810-14","ABCOLL_20181004_1_0090_1",79.32,68.07,34.97,147.28,1.01,11.2,118.42,2.37,113.58,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-839",NA,NA
"73","ABEC1810-15","ABCOLL_20181004_1_0090_1",54.91,49.81,21.5,49.51,1.02,4.81,40.78,1.69,39.84,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-840",NA,NA
"74","ABEC1810-16","ABCOLL_20181004_1_0090_1",60.08,47.77,26.07,54.55,1.02,4.79,47.7,1.67,46.87,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-841",NA,NA
"75","ABEC1810-17","ABCOLL_20181004_1_0090_1",53.35,36.41,19.15,36.05,1.01,4.31,28.4,1.64,27.68,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-842",NA,NA
"76","ABEC1810-18","ABCOLL_20181004_1_0090_1",63.4,57.68,30.65,87.78,1.02,6.81,73.18,2,69.44,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-843",NA,NA
"77","ABEC1810-19","ABCOLL_20181004_1_0090_1",64.07,40.52,29.71,52.9,1.02,5.31,44.5,1.81,43.29,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-844",NA,NA
"78","ABEC1810-20","ABCOLL_20181004_1_0090_1",47.52,38.19,21.2,30.41,1.02,3.13,25.86,1.37,24.76,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-845",NA,NA
"79","ABEC1810-21","ABCOLL_20181004_1_0090_1",48.37,37.09,22.82,24.08,1.02,3.78,18.77,1.46,17.33,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-846",NA,NA
"80","ABEC1810-22","ABCOLL_20181004_1_0090_1",69.35,65.73,30.58,122.75,1,12.38,99.43,2.47,89.82,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-847",NA,NA
"81","ABEC1810-23","ABCOLL_20181004_1_0090_1",54.86,38,24.88,26.47,1.02,4.36,22.1,1.49,21.14,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-848",NA,NA
"82","ABEC1810-24","ABCOLL_20181004_1_0090_1",66.62,59.29,27.34,78.89,1.02,6.71,64.31,1.82,62.4,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-849",NA,NA
"83","ABEC1810-25","ABCOLL_20181004_1_0090_1",47.36,41.43,18.95,20,0.99,3.84,14.52,1.36,13.76,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-850",NA,NA
"84","ABEC1811-01","ABCOLL_20181109_1_0090_1",59.86,43.09,27.66,46.65,2.3,5.52,39.68,2.88,36.63,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-851",NA,NA
"85","ABEC1811-02","ABCOLL_20181109_1_0090_1",48.6,45.74,26.17,43.5,2.31,5.81,35.81,2.82,34.3,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-852",NA,NA
"86","ABEC1811-03","ABCOLL_20181109_1_0090_1",52.1,41.6,19.33,29.73,2.25,6.34,23.17,3.12,21.96,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-853",NA,NA
"87","ABEC1811-04","ABCOLL_20181109_1_0090_1",53.58,45.46,22.09,46.79,2.31,5.94,40.69,3.1,39.75,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-854",NA,NA
"88","ABEC1811-05","ABCOLL_20181109_1_0090_1",66.73,44.94,33.31,73.92,2.3,8.46,63.61,3.5,60.89,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-855",NA,NA
"89","ABEC1811-06","ABCOLL_20181109_1_0090_1",65.37,58.45,28.57,93.82,2.27,9.68,81.89,3.71,76.37,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-856",NA,NA
"90","ABEC1811-07","ABCOLL_20181109_1_0090_1",75.54,58.94,33.82,113.9,2.28,12.13,99.03,4.08,93.63,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-857",NA,NA
"91","ABEC1811-08","ABCOLL_20181109_1_0090_1",46.02,44.01,22.74,26.41,2.35,6.5,19.93,3.24,18.2,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-858",NA,NA
"92","ABEC1811-09","ABCOLL_20181109_1_0090_1",59.77,46.58,23.24,49.38,2.29,7.12,40.92,3.25,38.34,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-859",NA,NA
"93","ABEC1811-10","ABCOLL_20181109_1_0090_1",62.22,48.55,30.47,68.88,2.28,8.79,58.18,3.67,56.25,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-860",NA,NA
"94","ABEC1811-11","ABCOLL_20181109_1_0090_1",48.72,48.21,21.28,40.6,2.29,5.59,35.26,2.98,33.87,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-861",NA,NA
"95","ABEC1811-12","ABCOLL_20181109_1_0090_1",64.2,49.92,31.52,78.93,2.2,10.39,66.76,3.86,64.92,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-862",NA,NA
"96","ABEC1811-13","ABCOLL_20181109_1_0090_1",60.97,43.56,21.09,36.98,2.32,6.68,30.47,3.01,29.19,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-863",NA,NA
"97","ABEC1811-14","ABCOLL_20181109_1_0090_1",61.72,45.06,24.56,48.85,2.31,6.72,41.38,3.19,40.16,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-864",NA,NA
"98","ABEC1811-15","ABCOLL_20181109_1_0090_1",55.19,46.5,22.83,39.85,2.26,5.68,34.14,2.96,32.88,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-865",NA,NA
"99","ABEC1811-16","ABCOLL_20181109_1_0090_1",57.99,52.41,31.53,65.23,2.27,9.83,53.99,3.9,51.32,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-866",NA,NA
"100","ABEC1811-17","ABCOLL_20181109_1_0090_1",51.53,31.73,21.2,24.33,2.28,4.98,19.68,2.86,18.74,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-867",NA,NA
"101","ABEC1811-18","ABCOLL_20181109_1_0090_1",72.99,65.26,33.6,120.47,2.27,16.13,99.71,4.4,91.71,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-868",NA,NA
"102","ABEC1811-19","ABCOLL_20181109_1_0090_1",54.03,41.3,24.09,37.36,2.34,8.03,29.93,3.41,28.08,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-869",NA,NA
"103","ABEC1811-20","ABCOLL_20181109_1_0090_1",67.66,51.27,24.48,53.45,2.29,9.46,43.21,3.39,41.58,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-870",NA,NA
"104","ABEC1811-21","ABCOLL_20181109_1_0090_1",54.79,41.88,28.32,41.16,2.27,7.79,33.45,3.43,31.76,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-871",NA,NA
"105","ABEC1811-22","ABCOLL_20181109_1_0090_1",77.36,60.59,34.68,118.18,2.31,17.27,93.65,4.38,90.5,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-872",NA,NA
"106","ABEC1811-23","ABCOLL_20181109_1_0090_1",54.97,47.12,20.03,40.24,2.29,6.45,33.88,3.14,32.2,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-873",NA,NA
"107","ABEC1811-24","ABCOLL_20181109_1_0090_1",56.31,46,23.41,53.48,2.36,8.8,45,3.7,43.83,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-874",NA,NA
"108","ABEC1811-25","ABCOLL_20181109_1_0090_1",74.25,59,40.12,136.22,2.31,19.28,110.97,5.18,103.37,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-875",NA,NA
"109","ABEC1812-01","ABCOLL_20181204_1_0090_1",77.17,65.98,34.3,131.43,2.27,16.41,108.95,3.8,101.4,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-876",NA,NA
"110","ABEC1812-02","ABCOLL_20181204_1_0090_1",73.37,53.6,33.79,116.33,2.27,16.11,99.22,4.24,92.53,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-877",NA,NA
"111","ABEC1812-03","ABCOLL_20181204_1_0090_1",62.1,61.09,30.8,91.67,2.3,17.02,74.35,4.52,70.86,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-878",NA,NA
"112","ABEC1812-04","ABCOLL_20181204_1_0090_1",55.93,51.19,27.54,56.28,2.33,13.12,41.76,3.87,38.87,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-879",NA,NA
"113","ABEC1812-05","ABCOLL_20181204_1_0090_1",71.61,63.77,33.15,116.24,2.26,18.99,94.16,4.15,85.92,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-880",NA,NA
"114","ABEC1812-06","ABCOLL_20181204_1_0090_1",70.02,68.71,34.48,121.54,2.27,19.6,100.96,4.66,96.14,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-881",NA,NA
"115","ABEC1812-07","ABCOLL_20181204_1_0090_1",49.13,43.69,17.61,34.03,2.28,7.96,26.72,3.19,25.88,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-882",NA,NA
