TripDate,FixedLocationID,StationName,Replicate,QuadratNumber,NumLegal
5/14/2026,393,RESTORE-03,1,4,9
5/14/2026,393,RESTORE-03,1,5,22
5/14/2026,393,RESTORE-03,1,6,10
5/14/2026,393,RESTORE-03,1,7,11
5/14/2026,393,RESTORE-03,1,8,5
5/14/2026,393,RESTORE-03,1,9,11
5/14/2026,393,RESTORE-03,1,10,11
5/14/2026,393,RESTORE-03,2,1,7
5/14/2026,393,RESTORE-03,2,2,8
5/14/2026,393,RESTORE-03,2,3,20
5/14/2026,393,RESTORE-03,2,4,16
5/14/2026,393,RESTORE-03,2,5,8
5/14/2026,393,RESTORE-03,2,6,10
5/14/2026,393,RESTORE-03,2,7,5
5/14/2026,393,RESTORE-03,2,8,20
5/14/2026,393,RESTORE-03,2,9,0
5/14/2026,393,RESTORE-03,2,10,10
5/14/2026,393,RESTORE-03,3,1,26
5/14/2026,393,RESTORE-03,3,2,6
5/14/2026,393,RESTORE-03,3,3,15
5/14/2026,393,RESTORE-03,3,4,6
5/14/2026,393,RESTORE-03,3,5,6
5/14/2026,393,RESTORE-03,3,6,7
5/14/2026,393,RESTORE-03,3,7,1
5/14/2026,393,RESTORE-03,3,8,4
5/14/2026,393,RESTORE-03,3,9,10
5/14/2026,393,RESTORE-03,3,10,1
5/14/2026,394,RESTORE-04,1,1,11
5/14/2026,394,RESTORE-04,1,2,12
5/14/2026,394,RESTORE-04,1,3,8
5/14/2026,394,RESTORE-04,1,4,25
5/14/2026,394,RESTORE-04,1,5,5
5/14/2026,394,RESTORE-04,1,6,19
5/14/2026,394,RESTORE-04,1,7,12
5/14/2026,394,RESTORE-04,1,8,15
5/14/2026,394,RESTORE-04,1,9,10
5/14/2026,394,RESTORE-04,1,10,18
5/22/2026,394,RESTORE-04,2,1,5
5/22/2026,394,RESTORE-04,2,2,11
5/22/2026,394,RESTORE-04,2,3,6
5/22/2026,394,RESTORE-04,2,4,21
5/22/2026,394,RESTORE-04,2,5,13
5/22/2026,394,RESTORE-04,2,6,14
5/22/2026,394,RESTORE-04,2,7,9
5/22/2026,394,RESTORE-04,2,8,12
5/22/2026,394,RESTORE-04,2,9,32
5/22/2026,394,RESTORE-04,2,10,3
5/22/2026,394,RESTORE-04,3,1,0
5/22/2026,394,RESTORE-04,3,2,1
5/22/2026,394,RESTORE-04,3,3,6
5/22/2026,394,RESTORE-04,3,4,3
5/22/2026,394,RESTORE-04,3,5,3
5/22/2026,394,RESTORE-04,3,6,1
5/22/2026,394,RESTORE-04,3,7,2
5/22/2026,394,RESTORE-04,3,8,7
5/22/2026,394,RESTORE-04,3,9,5
5/22/2026,394,RESTORE-04,3,10,16
5/21/2026,394,RESTORE-04,4,1,6
5/21/2026,394,RESTORE-04,4,2,4
5/21/2026,394,RESTORE-04,4,3,2
5/21/2026,394,RESTORE-04,4,4,14
5/21/2026,394,RESTORE-04,4,5,5
5/21/2026,394,RESTORE-04,4,6,2
5/21/2026,394,RESTORE-04,4,7,5
5/21/2026,394,RESTORE-04,4,8,0
5/21/2026,394,RESTORE-04,4,9,0
5/21/2026,394,RESTORE-04,4,10,2
5/20/2026,395,RESTORE-05,1,1,24
5/20/2026,395,RESTORE-05,1,2,6
5/20/2026,395,RESTORE-05,1,3,17
5/20/2026,395,RESTORE-05,1,4,14
5/20/2026,395,RESTORE-05,1,5,6
5/20/2026,395,RESTORE-05,1,6,24
5/20/2026,395,RESTORE-05,1,7,15
5/20/2026,395,RESTORE-05,1,8,22
5/20/2026,395,RESTORE-05,1,9,12
5/20/2026,395,RESTORE-05,1,10,23
5/21/2026,395,RESTORE-05,2,1,0
5/21/2026,395,RESTORE-05,2,2,0
5/21/2026,395,RESTORE-05,2,3,0
5/21/2026,395,RESTORE-05,2,4,0
5/21/2026,395,RESTORE-05,2,5,0
5/21/2026,395,RESTORE-05,2,6,0
5/21/2026,395,RESTORE-05,2,7,0
5/21/2026,395,RESTORE-05,2,8,0
5/21/2026,395,RESTORE-05,2,9,0
5/21/2026,395,RESTORE-05,2,10,0
5/21/2026,395,RESTORE-05,3,1,0
5/21/2026,395,RESTORE-05,3,2,0
5/21/2026,395,RESTORE-05,3,3,0
5/21/2026,395,RESTORE-05,3,4,0
5/21/2026,395,RESTORE-05,3,5,0
5/21/2026,395,RESTORE-05,3,6,0
5/21/2026,395,RESTORE-05,3,7,0
5/21/2026,395,RESTORE-05,3,8,0
5/21/2026,395,RESTORE-05,3,9,0
5/21/2026,395,RESTORE-05,3,10,0
5/6/2026,396,RESTORE-06,1,1,0
5/6/2026,396,RESTORE-06,1,2,1
5/6/2026,396,RESTORE-06,1,3,0
5/6/2026,396,RESTORE-06,1,4,0
5/6/2026,396,RESTORE-06,1,5,1
5/6/2026,396,RESTORE-06,1,6,0
5/6/2026,396,RESTORE-06,1,7,0
5/6/2026,396,RESTORE-06,1,8,0
5/6/2026,396,RESTORE-06,1,9,0
5/6/2026,396,RESTORE-06,1,10,1
5/6/2026,396,RESTORE-06,2,1,3
5/6/2026,396,RESTORE-06,2,2,0
5/6/2026,396,RESTORE-06,2,3,3
5/6/2026,396,RESTORE-06,2,4,4
5/6/2026,396,RESTORE-06,2,5,0
5/6/2026,396,RESTORE-06,2,6,0
5/6/2026,396,RESTORE-06,2,7,2
5/6/2026,396,RESTORE-06,2,8,0
5/6/2026,396,RESTORE-06,2,9,4
5/6/2026,396,RESTORE-06,2,10,0
5/6/2026,396,RESTORE-06,3,1,0
5/6/2026,396,RESTORE-06,3,2,0
5/6/2026,396,RESTORE-06,3,3,0
5/6/2026,396,RESTORE-06,3,4,2
5/6/2026,396,RESTORE-06,3,5,3
5/6/2026,396,RESTORE-06,3,6,2
5/6/2026,396,RESTORE-06,3,7,2
5/6/2026,396,RESTORE-06,3,8,1
5/6/2026,396,RESTORE-06,3,9,0
5/6/2026,396,RESTORE-06,3,10,0
4/22/2026,397,RESTORE-07,1,1,0
4/22/2026,397,RESTORE-07,1,2,5
4/22/2026,397,RESTORE-07,1,3,4
4/22/2026,397,RESTORE-07,1,4,1
4/22/2026,397,RESTORE-07,1,5,5
4/22/2026,397,RESTORE-07,1,6,1
4/22/2026,397,RESTORE-07,1,7,0
4/22/2026,397,RESTORE-07,1,8,0
4/22/2026,397,RESTORE-07,1,9,5
4/22/2026,397,RESTORE-07,1,10,1
4/22/2026,397,RESTORE-07,2,1,4
4/22/2026,397,RESTORE-07,2,2,1
4/22/2026,397,RESTORE-07,2,3,1
4/22/2026,397,RESTORE-07,2,4,3
4/22/2026,397,RESTORE-07,2,5,3
4/22/2026,397,RESTORE-07,2,6,1
4/22/2026,397,RESTORE-07,2,7,2
4/22/2026,397,RESTORE-07,2,8,1
4/22/2026,397,RESTORE-07,2,9,2
4/22/2026,397,RESTORE-07,2,10,4
4/23/2026,397,RESTORE-07,3,1,16
4/23/2026,397,RESTORE-07,3,2,3
4/23/2026,397,RESTORE-07,3,3,2
4/23/2026,397,RESTORE-07,3,4,0
4/23/2026,397,RESTORE-07,3,5,6
4/23/2026,397,RESTORE-07,3,6,4
4/23/2026,397,RESTORE-07,3,7,5
4/23/2026,397,RESTORE-07,3,8,6
4/23/2026,397,RESTORE-07,3,9,11
4/23/2026,397,RESTORE-07,3,10,10
4/23/2026,397,RESTORE-07,4,1,6
4/23/2026,397,RESTORE-07,4,2,7
4/23/2026,397,RESTORE-07,4,3,5
4/23/2026,397,RESTORE-07,4,4,11
4/23/2026,397,RESTORE-07,4,5,6
4/23/2026,397,RESTORE-07,4,6,5
4/23/2026,397,RESTORE-07,4,7,5
4/23/2026,397,RESTORE-07,4,8,5
4/23/2026,397,RESTORE-07,4,9,1
4/23/2026,397,RESTORE-07,4,10,15
5/5/2026,397,RESTORE-07,5,1,12
5/5/2026,397,RESTORE-07,5,2,6
5/5/2026,397,RESTORE-07,5,3,21
5/5/2026,397,RESTORE-07,5,4,13
5/5/2026,397,RESTORE-07,5,5,6
5/5/2026,397,RESTORE-07,5,6,13
5/5/2026,397,RESTORE-07,5,7,5
5/5/2026,397,RESTORE-07,5,8,5
5/5/2026,397,RESTORE-07,5,9,3
5/5/2026,397,RESTORE-07,5,10,2
5/19/2026,398,NFWF21-01LH,1,1,20
5/19/2026,398,NFWF21-01LH,1,2,23
5/19/2026,398,NFWF21-01LH,1,3,15
5/19/2026,398,NFWF21-01LH,1,4,7
5/19/2026,398,NFWF21-01LH,1,5,8
5/19/2026,398,NFWF21-01LH,1,6,11
5/19/2026,398,NFWF21-01LH,1,7,9
5/19/2026,398,NFWF21-01LH,1,8,8
5/19/2026,398,NFWF21-01LH,1,9,3
5/19/2026,398,NFWF21-01LH,1,10,0
5/19/2026,398,NFWF21-01LH,2,1,31
5/19/2026,398,NFWF21-01LH,2,2,18
5/19/2026,398,NFWF21-01LH,2,3,23
5/19/2026,398,NFWF21-01LH,2,4,4
5/19/2026,398,NFWF21-01LH,2,5,12
5/19/2026,398,NFWF21-01LH,2,6,8
5/19/2026,398,NFWF21-01LH,2,7,11
5/19/2026,398,NFWF21-01LH,2,8,17
5/19/2026,398,NFWF21-01LH,2,9,9
5/19/2026,398,NFWF21-01LH,2,10,9
5/19/2026,398,NFWF21-01LH,3,1,14
5/19/2026,398,NFWF21-01LH,3,2,12
5/19/2026,398,NFWF21-01LH,3,3,5
5/19/2026,398,NFWF21-01LH,3,4,12
5/19/2026,398,NFWF21-01LH,3,5,12
5/19/2026,398,NFWF21-01LH,3,6,13
5/19/2026,398,NFWF21-01LH,3,7,10
5/19/2026,398,NFWF21-01LH,3,8,14
5/19/2026,398,NFWF21-01LH,3,9,6
5/19/2026,398,NFWF21-01LH,3,10,12
4/24/2026,399,NFWF21-02EL,1,1,0
4/24/2026,399,NFWF21-02EL,1,2,3
4/24/2026,399,NFWF21-02EL,1,3,1
4/24/2026,399,NFWF21-02EL,1,4,0
4/24/2026,399,NFWF21-02EL,1,5,0
4/24/2026,399,NFWF21-02EL,1,6,5
4/24/2026,399,NFWF21-02EL,1,7,2
4/24/2026,399,NFWF21-02EL,1,8,1
4/24/2026,399,NFWF21-02EL,1,9,7
4/24/2026,399,NFWF21-02EL,1,10,1
4/24/2026,399,NFWF21-02EL,2,1,19
4/24/2026,399,NFWF21-02EL,2,2,16
4/24/2026,399,NFWF21-02EL,2,3,28
4/24/2026,399,NFWF21-02EL,2,4,24
4/24/2026,399,NFWF21-02EL,2,5,18
4/24/2026,399,NFWF21-02EL,2,6,18
4/24/2026,399,NFWF21-02EL,2,7,18
4/24/2026,399,NFWF21-02EL,2,8,17
4/24/2026,399,NFWF21-02EL,2,9,27
4/24/2026,399,NFWF21-02EL,2,10,5
4/24/2026,399,NFWF21-02EL,3,1,11
4/24/2026,399,NFWF21-02EL,3,2,7
4/24/2026,399,NFWF21-02EL,3,3,19
4/24/2026,399,NFWF21-02EL,3,4,14
4/24/2026,399,NFWF21-02EL,3,5,4
4/24/2026,399,NFWF21-02EL,3,6,16
4/24/2026,399,NFWF21-02EL,3,7,7
4/24/2026,399,NFWF21-02EL,3,8,9
4/24/2026,399,NFWF21-02EL,3,9,10
4/24/2026,399,NFWF21-02EL,3,10,8
5/4/2026,400,NFWF21-03CP,1,1,18
5/4/2026,400,NFWF21-03CP,1,2,5
5/4/2026,400,NFWF21-03CP,1,3,2
5/4/2026,400,NFWF21-03CP,1,4,4
5/4/2026,400,NFWF21-03CP,1,5,15
5/4/2026,400,NFWF21-03CP,1,6,6
5/4/2026,400,NFWF21-03CP,1,7,4
5/4/2026,400,NFWF21-03CP,1,8,8
5/4/2026,400,NFWF21-03CP,1,9,11
5/4/2026,400,NFWF21-03CP,1,10,0
5/4/2026,400,NFWF21-03CP,2,1,25
5/4/2026,400,NFWF21-03CP,2,2,8
5/4/2026,400,NFWF21-03CP,2,3,20
5/4/2026,400,NFWF21-03CP,2,4,9
5/4/2026,400,NFWF21-03CP,2,5,15
5/4/2026,400,NFWF21-03CP,2,6,19
5/4/2026,400,NFWF21-03CP,2,7,14
5/4/2026,400,NFWF21-03CP,2,8,12
5/4/2026,400,NFWF21-03CP,2,9,10
5/4/2026,400,NFWF21-03CP,2,10,15
5/8/2026,400,NFWF21-03CP,3,1,6
5/8/2026,400,NFWF21-03CP,3,2,8
5/8/2026,400,NFWF21-03CP,3,3,3
5/8/2026,400,NFWF21-03CP,3,4,8
5/8/2026,400,NFWF21-03CP,3,5,0
5/8/2026,400,NFWF21-03CP,3,6,10
5/8/2026,400,NFWF21-03CP,3,7,6
5/8/2026,400,NFWF21-03CP,3,8,3
5/8/2026,400,NFWF21-03CP,3,9,8
5/8/2026,400,NFWF21-03CP,3,10,5
