TripDate,FixedLocationID,StationName,Replicate,QuadratNumber,NumLegal
5/7/2025,392,RESTORE-02,3,1,0
5/7/2025,392,RESTORE-02,3,2,0
5/7/2025,392,RESTORE-02,3,3,0
5/7/2025,392,RESTORE-02,3,4,0
5/7/2025,392,RESTORE-02,3,5,0
5/7/2025,392,RESTORE-02,3,6,1
5/7/2025,392,RESTORE-02,3,7,0
5/7/2025,392,RESTORE-02,3,8,0
5/7/2025,392,RESTORE-02,3,9,0
5/7/2025,392,RESTORE-02,3,10,0
4/10/2025,393,RESTORE-03,1,1,8
4/10/2025,393,RESTORE-03,1,2,8
4/10/2025,393,RESTORE-03,1,3,11
4/10/2025,393,RESTORE-03,1,4,2
4/10/2025,393,RESTORE-03,1,5,14
4/10/2025,393,RESTORE-03,1,6,5
4/10/2025,393,RESTORE-03,1,7,1
4/10/2025,393,RESTORE-03,1,8,9
4/10/2025,393,RESTORE-03,1,9,9
4/10/2025,393,RESTORE-03,1,10,9
4/10/2025,393,RESTORE-03,2,1,10
4/10/2025,393,RESTORE-03,2,2,4
4/10/2025,393,RESTORE-03,2,3,9
4/10/2025,393,RESTORE-03,2,4,7
4/10/2025,393,RESTORE-03,2,5,18
4/10/2025,393,RESTORE-03,2,6,13
4/10/2025,393,RESTORE-03,2,7,4
4/10/2025,393,RESTORE-03,2,8,9
4/10/2025,393,RESTORE-03,2,9,17
4/10/2025,393,RESTORE-03,2,10,19
4/10/2025,393,RESTORE-03,3,1,13
4/10/2025,393,RESTORE-03,3,2,5
4/10/2025,393,RESTORE-03,3,3,8
4/10/2025,393,RESTORE-03,3,4,5
4/10/2025,393,RESTORE-03,3,5,11
4/10/2025,393,RESTORE-03,3,6,4
4/10/2025,393,RESTORE-03,3,7,16
4/10/2025,393,RESTORE-03,3,8,6
4/10/2025,393,RESTORE-03,3,9,4
4/10/2025,393,RESTORE-03,3,10,8
4/9/2025,394,RESTORE-04,1,1,11
4/9/2025,394,RESTORE-04,1,2,8
4/9/2025,394,RESTORE-04,1,3,8
4/9/2025,394,RESTORE-04,1,4,15
4/9/2025,394,RESTORE-04,1,5,6
4/9/2025,394,RESTORE-04,1,6,5
4/9/2025,394,RESTORE-04,1,7,11
4/9/2025,394,RESTORE-04,1,8,6
4/9/2025,394,RESTORE-04,1,9,20
4/9/2025,394,RESTORE-04,1,10,18
4/9/2025,394,RESTORE-04,2,1,4
4/9/2025,394,RESTORE-04,2,2,5
4/9/2025,394,RESTORE-04,2,3,7
4/9/2025,394,RESTORE-04,2,4,3
4/9/2025,394,RESTORE-04,2,5,3
4/9/2025,394,RESTORE-04,2,6,20
4/9/2025,394,RESTORE-04,2,7,5
4/9/2025,394,RESTORE-04,2,8,8
4/9/2025,394,RESTORE-04,2,9,4
4/9/2025,394,RESTORE-04,2,10,2
4/10/2025,394,RESTORE-04,3,1,6
4/10/2025,394,RESTORE-04,3,2,4
4/10/2025,394,RESTORE-04,3,3,16
4/10/2025,394,RESTORE-04,3,4,2
4/10/2025,394,RESTORE-04,3,5,2
4/10/2025,394,RESTORE-04,3,6,2
4/10/2025,394,RESTORE-04,3,7,6
4/10/2025,394,RESTORE-04,3,8,10
4/10/2025,394,RESTORE-04,3,9,0
4/10/2025,394,RESTORE-04,3,10,0
4/9/2025,395,RESTORE-05,1,1,4
4/9/2025,395,RESTORE-05,1,2,3
4/9/2025,395,RESTORE-05,1,3,0
4/9/2025,395,RESTORE-05,1,4,0
4/9/2025,395,RESTORE-05,1,5,0
4/9/2025,395,RESTORE-05,1,6,8
4/9/2025,395,RESTORE-05,1,7,0
4/9/2025,395,RESTORE-05,1,8,0
4/9/2025,395,RESTORE-05,1,9,0
4/9/2025,395,RESTORE-05,1,10,1
4/9/2025,395,RESTORE-05,2,1,0
4/9/2025,395,RESTORE-05,2,2,0
4/9/2025,395,RESTORE-05,2,3,0
4/9/2025,395,RESTORE-05,2,4,0
4/9/2025,395,RESTORE-05,2,5,0
4/9/2025,395,RESTORE-05,2,6,0
4/9/2025,395,RESTORE-05,2,7,0
4/9/2025,395,RESTORE-05,2,8,0
4/9/2025,395,RESTORE-05,2,9,0
4/9/2025,395,RESTORE-05,2,10,0
4/9/2025,395,RESTORE-05,3,1,0
4/9/2025,395,RESTORE-05,3,2,0
4/9/2025,395,RESTORE-05,3,3,0
4/9/2025,395,RESTORE-05,3,4,0
4/9/2025,395,RESTORE-05,3,5,0
4/9/2025,395,RESTORE-05,3,6,0
4/9/2025,395,RESTORE-05,3,7,0
4/9/2025,395,RESTORE-05,3,8,0
4/9/2025,395,RESTORE-05,3,9,0
4/9/2025,395,RESTORE-05,3,10,0
5/1/2025,396,RESTORE-06,1,1,7
5/1/2025,396,RESTORE-06,1,2,11
5/1/2025,396,RESTORE-06,1,3,2
5/1/2025,396,RESTORE-06,1,4,3
5/1/2025,396,RESTORE-06,1,5,2
5/1/2025,396,RESTORE-06,1,6,1
5/1/2025,396,RESTORE-06,1,7,0
5/1/2025,396,RESTORE-06,1,8,3
5/1/2025,396,RESTORE-06,1,9,1
5/1/2025,396,RESTORE-06,1,10,5
5/1/2025,396,RESTORE-06,2,1,1
5/1/2025,396,RESTORE-06,2,2,4
5/1/2025,396,RESTORE-06,2,3,2
5/1/2025,396,RESTORE-06,2,4,13
5/1/2025,396,RESTORE-06,2,5,0
5/1/2025,396,RESTORE-06,2,6,3
5/1/2025,396,RESTORE-06,2,7,6
5/1/2025,396,RESTORE-06,2,8,2
5/1/2025,396,RESTORE-06,2,9,0
5/1/2025,396,RESTORE-06,2,10,4
5/1/2025,396,RESTORE-06,3,1,8
5/1/2025,396,RESTORE-06,3,2,9
5/1/2025,396,RESTORE-06,3,3,20
5/1/2025,396,RESTORE-06,3,4,19
5/1/2025,396,RESTORE-06,3,5,12
5/1/2025,396,RESTORE-06,3,6,14
5/1/2025,396,RESTORE-06,3,7,19
5/1/2025,396,RESTORE-06,3,8,19
5/1/2025,396,RESTORE-06,3,9,6
5/1/2025,396,RESTORE-06,3,10,12
4/23/2025,397,RESTORE-07,1,1,17
4/23/2025,397,RESTORE-07,1,2,9
4/23/2025,397,RESTORE-07,1,3,6
4/23/2025,397,RESTORE-07,1,4,6
4/23/2025,397,RESTORE-07,1,5,5
4/23/2025,397,RESTORE-07,1,6,9
4/23/2025,397,RESTORE-07,1,7,5
4/23/2025,397,RESTORE-07,1,8,9
4/23/2025,397,RESTORE-07,1,9,3
4/23/2025,397,RESTORE-07,1,10,11
4/23/2025,397,RESTORE-07,2,1,11
4/23/2025,397,RESTORE-07,2,2,20
4/23/2025,397,RESTORE-07,2,3,14
4/23/2025,397,RESTORE-07,2,4,9
4/23/2025,397,RESTORE-07,2,5,6
4/23/2025,397,RESTORE-07,2,6,14
4/23/2025,397,RESTORE-07,2,7,9
4/23/2025,397,RESTORE-07,2,8,8
4/23/2025,397,RESTORE-07,2,9,20
4/23/2025,397,RESTORE-07,2,10,10
4/23/2025,397,RESTORE-07,3,1,5
4/23/2025,397,RESTORE-07,3,2,5
4/23/2025,397,RESTORE-07,3,3,12
4/23/2025,397,RESTORE-07,3,4,11
4/23/2025,397,RESTORE-07,3,5,6
4/23/2025,397,RESTORE-07,3,6,10
5/14/2025,397,RESTORE-07,3,7,9
4/23/2025,397,RESTORE-07,3,8,4
4/23/2025,397,RESTORE-07,3,9,3
4/23/2025,397,RESTORE-07,3,10,7
4/23/2025,397,RESTORE-07,4,1,14
4/23/2025,397,RESTORE-07,4,2,8
4/23/2025,397,RESTORE-07,4,3,8
4/23/2025,397,RESTORE-07,4,4,8
4/23/2025,397,RESTORE-07,4,5,3
4/23/2025,397,RESTORE-07,4,6,3
4/23/2025,397,RESTORE-07,4,7,7
4/23/2025,397,RESTORE-07,4,8,1
4/23/2025,397,RESTORE-07,4,9,5
4/23/2025,397,RESTORE-07,4,10,4
4/24/2025,397,RESTORE-07,5,1,21
4/24/2025,397,RESTORE-07,5,2,11
4/24/2025,397,RESTORE-07,5,3,11
4/24/2025,397,RESTORE-07,5,4,6
4/24/2025,397,RESTORE-07,5,5,17
4/24/2025,397,RESTORE-07,5,6,9
4/24/2025,397,RESTORE-07,5,7,6
4/24/2025,397,RESTORE-07,5,8,8
4/24/2025,397,RESTORE-07,5,9,8
4/24/2025,397,RESTORE-07,5,10,5
5/7/2025,398,NFWF21-01LH,1,1,6
5/7/2025,398,NFWF21-01LH,1,2,4
5/7/2025,398,NFWF21-01LH,1,3,10
5/7/2025,398,NFWF21-01LH,1,4,7
5/7/2025,398,NFWF21-01LH,1,5,4
5/7/2025,398,NFWF21-01LH,1,6,4
5/7/2025,398,NFWF21-01LH,1,7,5
5/7/2025,398,NFWF21-01LH,1,8,6
5/7/2025,398,NFWF21-01LH,1,9,6
5/7/2025,398,NFWF21-01LH,1,10,10
5/7/2025,398,NFWF21-01LH,2,1,4
5/7/2025,398,NFWF21-01LH,2,2,9
5/7/2025,398,NFWF21-01LH,2,3,9
5/7/2025,398,NFWF21-01LH,2,4,8
5/7/2025,398,NFWF21-01LH,2,5,10
5/7/2025,398,NFWF21-01LH,2,6,7
5/7/2025,398,NFWF21-01LH,2,7,4
5/7/2025,398,NFWF21-01LH,2,8,2
5/7/2025,398,NFWF21-01LH,2,9,15
5/7/2025,398,NFWF21-01LH,2,10,17
4/28/2025,398,NFWF21-01LH,3,1,6
4/28/2025,398,NFWF21-01LH,3,2,5
4/28/2025,398,NFWF21-01LH,3,3,11
4/28/2025,398,NFWF21-01LH,3,4,3
4/28/2025,398,NFWF21-01LH,3,5,3
4/28/2025,398,NFWF21-01LH,3,6,0
4/28/2025,398,NFWF21-01LH,3,7,3
4/28/2025,398,NFWF21-01LH,3,8,0
4/28/2025,398,NFWF21-01LH,3,9,3
4/28/2025,398,NFWF21-01LH,3,10,1
5/7/2025,399,NFWF21-02EL,1,1,4
5/7/2025,399,NFWF21-02EL,1,2,7
5/7/2025,399,NFWF21-02EL,1,3,2
5/7/2025,399,NFWF21-02EL,1,4,3
5/7/2025,399,NFWF21-02EL,1,5,6
5/7/2025,399,NFWF21-02EL,1,6,1
5/7/2025,399,NFWF21-02EL,1,7,5
5/7/2025,399,NFWF21-02EL,1,8,0
5/7/2025,399,NFWF21-02EL,1,9,4
5/7/2025,399,NFWF21-02EL,1,10,2
5/7/2025,399,NFWF21-02EL,2,1,6
5/7/2025,399,NFWF21-02EL,2,2,4
5/7/2025,399,NFWF21-02EL,2,3,1
5/7/2025,399,NFWF21-02EL,2,4,6
5/7/2025,399,NFWF21-02EL,2,5,8
5/7/2025,399,NFWF21-02EL,2,6,4
5/7/2025,399,NFWF21-02EL,2,7,13
5/7/2025,399,NFWF21-02EL,2,8,6
5/7/2025,399,NFWF21-02EL,2,9,6
5/7/2025,399,NFWF21-02EL,2,10,2
5/7/2025,399,NFWF21-02EL,3,1,11
5/7/2025,399,NFWF21-02EL,3,2,9
5/7/2025,399,NFWF21-02EL,3,3,17
5/7/2025,399,NFWF21-02EL,3,4,10
5/7/2025,399,NFWF21-02EL,3,5,13
5/7/2025,399,NFWF21-02EL,3,6,2
5/7/2025,399,NFWF21-02EL,3,7,2
5/7/2025,399,NFWF21-02EL,3,8,8
5/7/2025,399,NFWF21-02EL,3,9,18
5/7/2025,399,NFWF21-02EL,3,10,12
5/7/2025,400,NFWF21-03CP,1,1,17
5/7/2025,400,NFWF21-03CP,1,2,13
5/7/2025,400,NFWF21-03CP,1,3,9
5/7/2025,400,NFWF21-03CP,1,4,10
5/7/2025,400,NFWF21-03CP,1,5,9
5/7/2025,400,NFWF21-03CP,1,6,10
5/7/2025,400,NFWF21-03CP,1,7,15
5/7/2025,400,NFWF21-03CP,1,8,12
5/7/2025,400,NFWF21-03CP,1,9,17
5/7/2025,400,NFWF21-03CP,1,10,9
5/7/2025,400,NFWF21-03CP,2,1,11
5/7/2025,400,NFWF21-03CP,2,2,8
5/7/2025,400,NFWF21-03CP,2,3,10
5/7/2025,400,NFWF21-03CP,2,4,12
5/7/2025,400,NFWF21-03CP,2,5,3
5/7/2025,400,NFWF21-03CP,2,6,5
5/7/2025,400,NFWF21-03CP,2,7,5
5/7/2025,400,NFWF21-03CP,2,8,9
5/7/2025,400,NFWF21-03CP,2,9,4
5/7/2025,400,NFWF21-03CP,2,10,11
5/7/2025,400,NFWF21-03CP,3,1,7
5/7/2025,400,NFWF21-03CP,3,2,12
5/7/2025,400,NFWF21-03CP,3,3,5
5/7/2025,400,NFWF21-03CP,3,4,3
5/7/2025,400,NFWF21-03CP,3,5,7
5/7/2025,400,NFWF21-03CP,3,6,15
5/7/2025,400,NFWF21-03CP,3,7,13
5/7/2025,400,NFWF21-03CP,3,8,6
5/7/2025,400,NFWF21-03CP,3,9,4
5/7/2025,400,NFWF21-03CP,3,10,8
